Instancia,Crossover,Mutacao,Inicializacao,Criterio_Parada,Valor,Peso_Total,Capacidade,Tempo
1,1_ponto,baixa,aleatoria,fixo,973,49,50,0.0774
1,1_ponto,baixa,aleatoria,convergencia,973,49,50,0.0156
1,1_ponto,baixa,heuristica,fixo,973,49,50,0.0677
1,1_ponto,baixa,heuristica,convergencia,973,49,50,0.0212
1,1_ponto,media,aleatoria,fixo,973,49,50,0.0824
1,1_ponto,media,aleatoria,convergencia,973,49,50,0.007
1,1_ponto,media,heuristica,fixo,973,49,50,0.0634
1,1_ponto,media,heuristica,convergencia,973,49,50,0.006
1,1_ponto,alta,aleatoria,fixo,973,49,50,0.1657
1,1_ponto,alta,aleatoria,convergencia,973,49,50,0.0156
1,1_ponto,alta,heuristica,fixo,973,49,50,0.1095
1,1_ponto,alta,heuristica,convergencia,973,49,50,0.0156
1,2_pontos,baixa,aleatoria,fixo,973,49,50,0.1232
1,2_pontos,baixa,aleatoria,convergencia,973,49,50,0.0115
1,2_pontos,baixa,heuristica,fixo,973,49,50,0.0986
1,2_pontos,baixa,heuristica,convergencia,973,49,50,0.0224
1,2_pontos,media,aleatoria,fixo,973,49,50,0.1924
1,2_pontos,media,aleatoria,convergencia,973,49,50,0.0156
1,2_pontos,media,heuristica,fixo,973,49,50,0.1631
1,2_pontos,media,heuristica,convergencia,973,49,50,0.0156
1,2_pontos,alta,aleatoria,fixo,973,49,50,0.198
1,2_pontos,alta,aleatoria,convergencia,973,49,50,0.0285
1,2_pontos,alta,heuristica,fixo,973,49,50,0.1616
1,2_pontos,alta,heuristica,convergencia,973,49,50,0.0156
1,uniforme,baixa,aleatoria,fixo,973,49,50,0.1014
1,uniforme,baixa,aleatoria,convergencia,973,49,50,0.0156
1,uniforme,baixa,heuristica,fixo,973,49,50,0.1004
1,uniforme,baixa,heuristica,convergencia,973,49,50,0.0
1,uniforme,media,aleatoria,fixo,973,49,50,0.115
1,uniforme,media,aleatoria,convergencia,973,49,50,0.0156
1,uniforme,media,heuristica,fixo,973,49,50,0.1187
1,uniforme,media,heuristica,convergencia,973,49,50,0.0156
1,uniforme,alta,aleatoria,fixo,973,49,50,0.1873
1,uniforme,alta,aleatoria,convergencia,973,49,50,0.0555
1,uniforme,alta,heuristica,fixo,973,49,50,0.1813
1,uniforme,alta,heuristica,convergencia,973,49,50,0.0019
2,1_ponto,baixa,aleatoria,fixo,837,51,60,0.2828
2,1_ponto,baixa,aleatoria,convergencia,837,51,60,0.0166
2,1_ponto,baixa,heuristica,fixo,837,51,60,0.2261
2,1_ponto,baixa,heuristica,convergencia,837,51,60,0.0232
2,1_ponto,media,aleatoria,fixo,837,51,60,0.18
2,1_ponto,media,aleatoria,convergencia,837,51,60,0.0166
2,1_ponto,media,heuristica,fixo,837,51,60,0.1463
